route_id;order_id;truck_id;client_id;city_loading;city_unloading;datetime_loading_start_plan_order;datetime_loading_end_plan_order;datetime_unloading_start_plan_order;datetime_unloading_end_plan_order;datetime_loading_arrival_fact;datetime_loading_start_fact;datetime_loading_end_fact;datetime_loading_departure_fact;datetime_unloading_arrival_fact;datetime_unloading_start_fact;datetime_unloading_end_fact;datetime_unloading_departure_fact
89629;199339;о031ск 750;15;Москва;Москва;31.05.2019 00:18;31.05.2019 03:18;31.05.2019 05:00;31.05.2019 07:00;31.05.2019 00:00;31.05.2019 00:00;31.05.2019 00:43;31.05.2019 00:43;31.05.2019 01:40;31.05.2019 01:40;31.05.2019 14:55;31.05.2019 15:26
89629;199804;о031ск 750;15;Москва;Москва;31.05.2019 07:00;31.05.2019 09:00;31.05.2019 10:48;31.05.2019 13:48;31.05.2019 01:40;31.05.2019 01:40;31.05.2019 14:55;31.05.2019 15:26;31.05.2019 16:42;31.05.2019 16:42;31.05.2019 16:42;31.05.2019 16:42
89619;198514;с724св 750;15;Москва;Москва;29.05.2019 14:24;29.05.2019 15:38;29.05.2019 19:00;29.05.2019 20:14;29.05.2019 13:14;29.05.2019 13:14;29.05.2019 17:15;29.05.2019 17:15;29.05.2019 20:28;29.05.2019 20:28;29.05.2019 21:58;29.05.2019 21:58
89619;198921;с724св 750;15;Москва;Москва;30.05.2019 14:06;30.05.2019 17:06;30.05.2019 20:00;30.05.2019 22:00;29.05.2019 23:49;30.05.2019 11:29;30.05.2019 12:55;30.05.2019 12:55;30.05.2019 15:38;30.05.2019 15:38;31.05.2019 01:02;31.05.2019 01:02
89619;199337;с724св 750;15;Москва;Москва;31.05.2019 12:46;31.05.2019 15:46;31.05.2019 17:40;31.05.2019 19:40;31.05.2019 03:58;31.05.2019 03:58;31.05.2019 06:20;31.05.2019 06:20;31.05.2019 15:00;31.05.2019 15:00;31.05.2019 20:50;31.05.2019 20:50
89619;199743;с724св 750;15;Москва;Москва;30.05.2019 22:00;31.05.2019 00:00;31.05.2019 03:42;31.05.2019 06:42;30.05.2019 15:38;30.05.2019 15:38;31.05.2019 01:02;31.05.2019 01:02;31.05.2019 03:58;31.05.2019 03:58;31.05.2019 06:20;31.05.2019 06:20
89506;198893;о053ск 750;18;Санкт-Петербург;Москва;30.05.2019 15:00;30.05.2019 17:00;31.05.2019 12:00;31.05.2019 14:00;30.05.2019 11:00;30.05.2019 11:00;30.05.2019 13:00;30.05.2019 13:00;31.05.2019 09:54;31.05.2019 09:54;31.05.2019 19:13;31.05.2019 19:13
89311;198450;в365са 750;18;Москва;Санкт-Петербург;29.05.2019 13:00;29.05.2019 15:00;30.05.2019 13:00;30.05.2019 16:00;29.05.2019 10:00;29.05.2019 10:00;29.05.2019 13:36;29.05.2019 13:36;30.05.2019 13:00;30.05.2019 13:00;30.05.2019 20:29;30.05.2019 20:29
89286;198278;у592св 750;29;Москва;Москва;28.05.2019 20:45;28.05.2019 20:45;28.05.2019 23:25;28.05.2019 23:31;29.05.2019 15:33;29.05.2019 15:33;29.05.2019 17:02;29.05.2019 17:02;29.05.2019 18:29;29.05.2019 18:29;29.05.2019 19:30;29.05.2019 19:30
89286;198538;у592св 750;29;Москва;Москва;28.05.2019 23:50;28.05.2019 23:50;29.05.2019 02:00;29.05.2019 02:06;29.05.2019 20:13;29.05.2019 20:13;29.05.2019 21:26;29.05.2019 21:26;30.05.2019 00:51;30.05.2019 00:51;30.05.2019 02:48;30.05.2019 02:48
89286;198561;у592св 750;29;Москва;Москва;29.05.2019 02:15;29.05.2019 02:15;29.05.2019 04:25;29.05.2019 04:31;30.05.2019 00:51;30.05.2019 00:51;30.05.2019 02:48;30.05.2019 02:48;30.05.2019 04:17;30.05.2019 04:17;30.05.2019 05:58;30.05.2019 05:58
89286;198562;у592св 750;29;Москва;Москва;29.05.2019 04:40;29.05.2019 04:40;29.05.2019 06:50;29.05.2019 06:56;30.05.2019 04:17;30.05.2019 04:17;30.05.2019 05:58;30.05.2019 05:58;30.05.2019 08:14;30.05.2019 08:14;30.05.2019 09:10;30.05.2019 09:10
89286;198563;у592св 750;29;Москва;Москва;29.05.2019 07:05;29.05.2019 07:05;29.05.2019 10:15;29.05.2019 10:21;30.05.2019 08:14;30.05.2019 08:14;30.05.2019 09:10;30.05.2019 09:10;30.05.2019 13:00;30.05.2019 13:00;30.05.2019 14:25;30.05.2019 14:25
89286;198564;у592св 750;29;Москва;Москва;29.05.2019 10:30;29.05.2019 10:30;29.05.2019 13:40;29.05.2019 13:46;30.05.2019 13:00;30.05.2019 13:00;30.05.2019 14:25;30.05.2019 14:25;30.05.2019 15:25;30.05.2019 15:25;30.05.2019 22:20;30.05.2019 22:20
89286;198565;у592св 750;29;Москва;Москва;29.05.2019 13:55;29.05.2019 13:55;29.05.2019 17:05;29.05.2019 17:11;31.05.2019 00:10;31.05.2019 00:10;31.05.2019 00:45;31.05.2019 00:45;31.05.2019 02:35;31.05.2019 02:35;31.05.2019 04:10;31.05.2019 04:10
89286;198566;у592св 750;29;Москва;Москва;29.05.2019 17:20;29.05.2019 17:20;29.05.2019 20:30;29.05.2019 20:36;31.05.2019 02:35;31.05.2019 02:35;31.05.2019 04:10;31.05.2019 04:10;31.05.2019 05:25;31.05.2019 05:25;31.05.2019 06:35;31.05.2019 06:35
89145;198922;м342ох 777;15;Москва;Москва;30.05.2019 04:12;30.05.2019 07:12;30.05.2019 09:00;30.05.2019 11:00;30.05.2019 04:12;30.05.2019 04:12;30.05.2019 07:12;30.05.2019 07:12;30.05.2019 09:00;30.05.2019 09:00;30.05.2019 18:00;30.05.2019 18:00
89145;199134;м342ох 777;7;Москва;Санкт-Петербург;30.05.2019 23:00;31.05.2019 02:00;31.05.2019 16:00;31.05.2019 18:00;30.05.2019 21:40;30.05.2019 21:40;31.05.2019 02:00;31.05.2019 02:00;31.05.2019 15:00;31.05.2019 15:00;31.05.2019 16:10;31.05.2019 16:10
